GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1558923034	2022-11-16 08:39:38.13571	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				5					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			16 Mile Road, No public access	L21496018	P	46.1364836	-111.3151125	2022-11-10	11:08:00	obsr2094627	S122187528	Traveling	P22	EBIRD	131	7.580		2	1	G9157306	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1568048727	2022-11-23 17:17:25.718905	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Ski trails	L21618362	P	45.7113433	-111.0356540	2022-11-23	11:20:00	obsr510129	S122900966	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1715853185	2023-05-08 22:37:53.319451	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Hausser Park	L6233503	H	45.6560733	-111.0267988	2022-11-04	10:57:00	obsr2329057	S136720097	Traveling	P22	EBIRD	35	0.869		2	1	G10171595	0	1	0			pale bill, juvenile	
URN:CornellLabOfOrnithology:EBIRD:OBS1559604676	2022-11-16 08:39:38.13571	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				4					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			16 Mile Road, No public access	L21496018	P	46.1364836	-111.3151125	2022-11-11	09:25:00	obsr2094627	S122242664	Traveling	P22	EBIRD	111	9.849		2	1	G9161937	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1560351685	2022-11-16 08:32:45.704269	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				4					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			16 Mile Road, No public access	L21496018	P	46.1364836	-111.3151125	2022-11-12	10:17:00	obsr3461576	S122302140	Traveling	P22	EBIRD	47	6.679		2	1	G9165286	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1559827305	2022-11-16 08:39:38.13571	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				4					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			16 Mile Road, No public access	L21496018	P	46.1364836	-111.3151125	2022-11-11	09:25:00	obsr3461576	S122261044	Traveling	P22	EBIRD	111	9.849		2	1	G9161937	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1581654561	2022-12-15 00:09:13.345835	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-14	08:24:00	obsr88799	S123991510	Traveling	P22	EBIRD	57	0.999		1	1		0	1	0		18F, snowing, calm with gray skies		
URN:CornellLabOfOrnithology:EBIRD:OBS1588442929	2022-12-24 16:56:44.376497	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				3					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-24	13:24:00	obsr2910774	S124544533	Stationary	P21	EBIRD	87			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1578116605	2022-12-09 13:34:55.502087	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-09	10:25:00	obsr1283094	S123690495	Traveling	P22	EBIRD	64	1.916		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1583243798	2022-12-20 09:36:45.48872	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Glen Lake Rotary Park	L3887446	H	45.7047752	-111.0375201	2022-12-17	10:45:00	obsr45736	S124117125	Traveling	P22	EBIRD	65	2.028		3	1		0	1	0		Bozeman Christmas Bird Count - NE Quadrant		
URN:CornellLabOfOrnithology:EBIRD:OBS1580537984	2023-01-15 19:59:13.4506	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-12	14:44:00	obsr88799	S123892754	Traveling	P22	EBIRD	49	0.926		1	1		1	1	0		Light snow falling, 18F, calm		
URN:CornellLabOfOrnithology:EBIRD:OBS1581689001	2022-12-20 00:44:42.385952	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-13	15:45:00	obsr731185	S123992853	Traveling	P22	EBIRD	45	0.805		1	1		0	1	0		Temperature in the mid 10's F, mostly cloudy, previously snowed.----Additional Fauna: Red Squirrel, Mountain Cottontail		
URN:CornellLabOfOrnithology:EBIRD:OBS1581371347	2022-12-14 13:42:33.394428	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-14	10:06:00	obsr1730745	S123959781	Traveling	P22	EBIRD	94	1.397		1	1		0	1	0		18-21 degrees F, cloudy and calm with light snow falling.		
URN:CornellLabOfOrnithology:EBIRD:OBS1580979035	2023-01-15 19:55:50.880162	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-13	11:10:00	obsr88799	S123930885	Traveling	P22	EBIRD	93	1.162		1	1		1	1	0		18 to 21F during visit, calm some clearing of skies starting; significant snow cover; no luck in search for Northern Saw-whet Owl but it was still an enjoyable visit.		
URN:CornellLabOfOrnithology:EBIRD:OBS1588950523	2022-12-25 15:54:59.383461	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10	USFWS_773		Drinking Horse Trail	L2830287	H	45.7054900	-110.9743166	2022-12-25	12:20:00	obsr2910774	S124590079	Traveling	P22	EBIRD	92	2.945		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1590604088	2022-12-27 20:30:36.544953	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Yellowstone National Park, Gallatin Gateway US-MT (44.9815,-111.0799)	L21937591	P	44.9814620	-111.0798820	2022-12-27	14:57:00	obsr302493	S124736250	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1580885110	2022-12-13 15:50:42.76333	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-12-13	13:08:00	obsr1283094	S123923002	Traveling	P22	EBIRD	42	2.199		1	1		0	1	0				
